229 articles
+-------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                     |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
+-------------------------------------------+-------------+---------+---------------+---------------+
| Mărire Îndelung-răbdării Tale             | Traian Dorz |  poezie |       24      |       91      |
| Pilat a pus să-L bată                     | Traian Dorz | articol |       26      |      766      |
| Ce-mi vezi tu ochiul meu?                 | Traian Dorz |  poezie |       31      |      150      |
| O cunună de spini                         | Traian Dorz | articol |       23      |      915      |
| Chiar mergând cu Domnul                   | Traian Dorz |  poezie |       35      |      126      |
| ... Şi Îi dădeau palme                    | Traian Dorz | articol |       50      |      793      |
| E mult prea scumpă                        | Traian Dorz |  poezie |       34      |      147      |
| Iată, vi-L aduc, ca să ştiţi              | Traian Dorz | articol |       42      |      824      |
| Fie-ţi timpul                             | Traian Dorz |  poezie |       38      |      146      |
| Iată Omul                                 | Traian Dorz | articol |       40      |      892      |
| O, Sfinte Răni                            | Traian Dorz |  poezie |       37      |      144      |
| Nici o vină...                            | Traian Dorz | articol |       42      |      824      |
| În clipa morţii vede omul                 | Traian Dorz |  poezie |       41      |      163      |
| Noi avem o lege...                        | Traian Dorz | articol |       33      |      848      |
| Doamne, cum să-Ţi cer?                    | Traian Dorz |  poezie |       34      |      149      |
| Şi mai frică...                           | Traian Dorz | articol |       30      |      918      |
| Încredinţează-ne iubire                   | Traian Dorz |  poezie |       38      |      147      |
| ... Nici un răspuns                       | Traian Dorz | articol |       28      |      832      |
| Îndeajuns e pentru mine                   | Traian Dorz |  poezie |       27      |      103      |
| Mie nu-mi vorbeşti?                       | Traian Dorz | articol |       36      |      884      |
| În lume-aici                              | Traian Dorz |  poezie |       38      |      141      |
| Cine Mă dă în mâinile tale...             | Traian Dorz | articol |       26      |      926      |
| Învaţă-ne Lumină                          | Traian Dorz |  poezie |       36      |      178      |
| Dacă dai drumul lui Isus...               | Traian Dorz | articol |       24      |      871      |
| Curând va trebui                          | Traian Dorz |  poezie |       41      |      149      |
| Pe scaunul de judecător                   | Traian Dorz | articol |       39      |      922      |
| Mai întâi de toate                        | Traian Dorz |  poezie |       38      |      154      |
| Era ceasul al şaselea...                  | Traian Dorz | articol |       36      |      808      |
| Poţi răsuci Cuvântul                      | Traian Dorz |  poezie |       35      |      127      |
| Noi n-avem alt împărat...                 | Traian Dorz | articol |       29      |      966      |
| Nu noi chemăm                             | Traian Dorz |  poezie |       39      |      180      |
| În mâinile lor...                         | Traian Dorz | articol |       47      |      794      |
| Înăuntru ţi-e lumina                      | Traian Dorz |  poezie |       37      |      108      |
| Golgota...                                | Traian Dorz | articol |       38      |      886      |
| M-apropiu de-orice muncă                  | Traian Dorz |  poezie |       34      |      193      |
| Isus era la mijloc                        | Traian Dorz | articol |       48      |      844      |
| Mărire veşnică Răbdării                   | Traian Dorz |  poezie |       35      |      119      |
| Însemnarea de pe Cruce                    | Traian Dorz | articol |       40      |      796      |
| Fiul meu, ascultă-mi                      | Traian Dorz |  poezie |       32      |      141      |
| Mulţi au citit                            | Traian Dorz | articol |       46      |      895      |
| O daltă e Cuvântul                        | Traian Dorz |  poezie |       38      |      131      |
| Nu scrie aşa!                             | Traian Dorz | articol |       42      |      851      |
| Nu-nvinui Credinţa                        | Traian Dorz |  poezie |       34      |      107      |
| Ce am scris, am scris                     | Traian Dorz | articol |       53      |      890      |
| Noi nu avem                               | Traian Dorz |  poezie |       41      |      150      |
| Cămaşa lui Isus                           | Traian Dorz | articol |       35      |      930      |
| Până nu calci în picioare                 | Traian Dorz |  poezie |       37      |      145      |
| Să n-o sfâşiem!...                        | Traian Dorz | articol |       56      |      1049     |
| O, gândurile mele                         | Traian Dorz |  poezie |       31      |      145      |
| Lângă Crucea lui Isus...                  | Traian Dorz | articol |       57      |      958      |
| Slavă-n tine Cer curat                    | Traian Dorz |  poezie |       26      |       98      |
| Când a văzut Isus pe Mama Sa...           | Traian Dorz | articol |       52      |      906      |
| O, Maica Jertfei                          | Traian Dorz |  poezie |       46      |      179      |
| Iată Mama ta                              | Traian Dorz | articol |       46      |      928      |
| Maica Domnului Isus                       | Traian Dorz |  poezie |       29      |       97      |
| Isus care ştia că acum totul s-a sfârşit  | Traian Dorz | articol |       44      |      885      |
| Ştii tu ce mare har?                      | Traian Dorz |  poezie |       38      |      164      |
| Un vas plin de oţet                       | Traian Dorz | articol |       42      |      912      |
| Până când rămân părinţii                  | Traian Dorz |  poezie |       36      |      149      |
| S-a isprăvit                              | Traian Dorz | articol |       59      |      884      |
| În faţa Crucii                            | Traian Dorz |  poezie |       40      |      171      |
| De frica sabatului                        | Traian Dorz | articol |       36      |      790      |
| Sfânta mea chemare                        | Traian Dorz |  poezie |       35      |      134      |
| Soldaţii au zdrobit...                    | Traian Dorz | articol |       51      |      807      |
| Nu vă-nchideţi încă                       | Traian Dorz |  poezie |       36      |      137      |
| Când au venit la Isus...                  | Traian Dorz | articol |       50      |      937      |
| Slavă veşnică Iubirii                     | Traian Dorz |  poezie |       34      |       97      |
| Sânge şi apă...                           | Traian Dorz | articol |       60      |      992      |
| Tot mai am de spus                        | Traian Dorz |  poezie |       36      |      152      |
| Faptul acesta, adeverit                   | Traian Dorz | articol |       36      |      951      |
| O viaţă ai!                               | Traian Dorz |  poezie |       30      |      165      |
| Nici unul din oasele Lui...               | Traian Dorz | articol |       36      |      845      |
