+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       216       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |        74       |
|                'cît'                |                'cât'                |              replace_words              | verses |        54       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |        52       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        50       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |        48       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        45       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        43       |
|                'pînă'               |                'până'               |              replace_words              | verses |        42       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        38       |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        33       |
|               'Genesa'              |               'Geneza'              |              replace_words              | title  |        31       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        30       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        29       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        28       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        27       |
|               'Cîntă'               |               'Cântă'               |              replace_words              | verses |        21       |
|               'decît'               |               'decât'               |              replace_words              | verses |        20       |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        20       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        19       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        19       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        18       |
|                'atît'               |                'atât'               |              replace_words              | verses |        18       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        18       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        18       |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        17       |
|               'blînd'               |               'blând'               |              replace_words              | verses |        16       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        14       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        11       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        11       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        11       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        11       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        11       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        11       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        11       |
|               'cîntec'              |               'cântec'              |              replace_words              | verses |        10       |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        10       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        10       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        10       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        9        |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        9        |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        9        |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        9        |
|               'cîntăm'              |               'cântăm'              |              replace_words              | verses |        8        |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        7        |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        7        |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        7        |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        6        |
|              'mîntuit'              |              'mântuit'              |              replace_words              | verses |        6        |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        6        |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        6        |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        6        |
|               'stîncă'              |               'stâncă'              |              replace_words              | verses |        6        |
|               'avînd'               |               'având'               |              replace_words              | verses |        6        |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        6        |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        6        |
|               'tînăr'               |               'tânăr'               |              replace_words              | verses |        6        |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        6        |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        6        |
|               'plîngi'              |               'plângi'              |              replace_words              | verses |        6        |
|               'Cîntă'               |               'Cântă'               |              replace_words              | title  |        6        |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        5        |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        5        |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        5        |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        5        |
|              'trecînd'              |              'trecând'              |              replace_words              | verses |        5        |
|              'strînge'              |              'strânge'              |              replace_words              | verses |        5        |
|               'frînt'               |               'frânt'               |              replace_words              | verses |        5        |
|              'spunînd'              |              'spunând'              |              replace_words              | verses |        5        |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        5        |
|             'Mîntuirii'             |             'Mântuirii'             |              replace_words              | verses |        5        |
|              'Legămînt'             |              'Legământ'             |              replace_words              | verses |        5        |
|             'sfîrşeşte'             |             'sfârşeşte'             |              replace_words              | verses |        5        |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        5        |
|                'sîn'                |                'sân'                |              replace_words              | verses |        5        |
