+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'sînt'               |                'sunt'               |              replace_words              | verses |       346       |
|                'cînd'               |                'când'               |              replace_words              | verses |       335       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       138       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |       117       |
|                'cît'                |                'cât'                |              replace_words              | verses |       110       |
|                'pînă'               |                'până'               |              replace_words              | verses |       100       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        89       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        84       |
|               'decît'               |               'decât'               |              replace_words              | verses |        67       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        65       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        62       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        61       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        47       |
|              'nicicînd'             |              'nicicând'             |              replace_words              | verses |        45       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        44       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        43       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        41       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        39       |
|              'Cîntarea'             |              'Cântarea'             |              replace_words              | title  |        38       |
|               'mînie'               |               'mânie'               |              replace_words              | verses |        37       |
|               'mînia'               |               'mânia'               |              replace_words              | verses |        34       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        34       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        32       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        31       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        31       |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        30       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |        28       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        26       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        26       |
|               'Stînca'              |               'Stânca'              |              replace_words              | verses |        25       |
|              'cîntaţi'              |              'cântaţi'              |              replace_words              | verses |        25       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        25       |
|            'cîntăreţilor'           |            'cântăreţilor'           |              replace_words              | verses |        24       |
|                'vînt'               |                'vânt'               |              replace_words              | verses |        23       |
|               'sfînta'              |               'sfânta'              |              replace_words              | verses |        22       |
|               'dînşii'              |               'dânşii'              |              replace_words              | verses |        21       |
|               'sînge'               |               'sânge'               |              replace_words              | verses |        21       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        21       |
|            '            '           |                  ''                 |               strip_spaces              | verses |        20       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        20       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        20       |
|            '            '           |            '            '           |               replace_nbsp              | verses |        20       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        19       |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        19       |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | verses |        19       |
|               'cîntat'              |               'cântat'              |              replace_words              | verses |        19       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        19       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        19       |
|               '     '               |                  ''                 |               strip_spaces              | verses |        18       |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        18       |
|                'cînt'               |                'cânt'               |              replace_words              | verses |        18       |
|               '     '               |               '     '               |               replace_nbsp              | verses |        18       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        17       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        17       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        17       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        16       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        16       |
|                'atît'               |                'atât'               |              replace_words              | verses |        16       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        16       |
|               'cînte'               |               'cânte'               |              replace_words              | verses |        15       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        15       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        15       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        14       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        14       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        14       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        14       |
|               'vîntul'              |               'vântul'              |              replace_words              | verses |        13       |
|              'Cîntaţi'              |              'Cântaţi'              |              replace_words              | verses |        12       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        12       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        12       |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        12       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        12       |
|           'binecuvîntaţi'           |           'binecuvântaţi'           |              replace_words              | verses |        12       |
